,deal_id,snapshot_date,stage,forecast_category,amount,close_date,owner_id,stage_change,stage_start_date,days_in_stage,stalled
116,deal_102,2025-05-26,Proposal,Best Case,34837,2025-04-16,owner_1,False,2025-05-05,21,False
117,deal_102,2025-06-02,Proposal,Best Case,23766,2025-07-16,owner_1,False,2025-05-05,28,False
118,deal_102,2025-06-09,Negotiation,Best Case,29675,2025-06-16,owner_1,True,2025-06-09,0,False
1821,deal_103,2024-12-16,Prospecting,Pipeline,81934,2025-02-28,owner_12,True,2024-12-16,0,False
1822,deal_103,2024-12-23,Prospecting,Pipeline,81934,2025-01-28,owner_12,False,2024-12-16,7,False
1823,deal_103,2024-12-30,Prospecting,Pipeline,81934,2025-05-28,owner_12,False,2024-12-16,14,False
1824,deal_103,2025-01-06,Prospecting,Pipeline,81934,2025-05-28,owner_12,False,2024-12-16,21,False
1825,deal_103,2025-01-13,Prospecting,Pipeline,81934,2025-04-28,owner_12,False,2024-12-16,28,False
1826,deal_103,2025-01-20,Qualification,Pipeline,81934,2025-02-28,owner_12,True,2025-01-20,0,False
1827,deal_103,2025-01-27,Qualification,Pipeline,81934,2025-05-28,owner_12,False,2025-01-20,7,False
1828,deal_103,2025-02-03,Qualification,Pipeline,81934,2025-01-28,owner_12,False,2025-01-20,14,False
1829,deal_103,2025-02-10,Qualification,Pipeline,81934,2025-01-28,owner_12,False,2025-01-20,21,False
1830,deal_103,2025-02-17,Qualification,Pipeline,81934,2025-05-28,owner_12,False,2025-01-20,28,False
1831,deal_103,2025-02-24,Proposal,Best Case,81934,2025-01-28,owner_12,True,2025-02-24,0,False
1832,deal_103,2025-03-03,Proposal,Best Case,81934,2025-04-28,owner_12,False,2025-02-24,7,False
1833,deal_103,2025-03-10,Proposal,Best Case,81934,2025-04-28,owner_12,False,2025-02-24,14,False
1834,deal_103,2025-03-17,Proposal,Best Case,81934,2025-05-28,owner_12,False,2025-02-24,21,False
1835,deal_103,2025-03-24,Negotiation,Commit,81934,2025-03-28,owner_12,True,2025-03-24,0,False
6025,deal_104,2024-04-01,Prospecting,Pipeline,115191,2024-07-08,owner_6,True,2024-04-01,0,False
6026,deal_104,2024-04-08,Prospecting,Pipeline,115191,2024-07-08,owner_6,False,2024-04-01,7,False
6027,deal_104,2024-04-15,Prospecting,Pipeline,115191,2024-10-08,owner_6,False,2024-04-01,14,False
6028,deal_104,2024-04-22,Prospecting,Pipeline,115191,2024-11-08,owner_6,False,2024-04-01,21,False
6029,deal_104,2024-04-29,Prospecting,Pipeline,115191,2024-08-08,owner_6,False,2024-04-01,28,False
6030,deal_104,2024-05-06,Qualification,Pipeline,115191,2024-08-08,owner_6,True,2024-05-06,0,False
6031,deal_104,2024-05-13,Qualification,Pipeline,115191,2024-07-08,owner_6,False,2024-05-06,7,False
6032,deal_104,2024-05-20,Qualification,Pipeline,115191,2024-08-08,owner_6,False,2024-05-06,14,False
6033,deal_104,2024-05-27,Qualification,Pipeline,115191,2024-08-08,owner_6,False,2024-05-06,21,False
6034,deal_104,2024-06-03,Proposal,Best Case,115191,2024-07-08,owner_6,True,2024-06-03,0,False
6035,deal_104,2024-06-10,Proposal,Best Case,115191,2024-10-08,owner_6,False,2024-06-03,7,False
6036,deal_104,2024-06-17,Proposal,Best Case,115191,2024-07-08,owner_6,False,2024-06-03,14,False
6037,deal_104,2024-06-24,Proposal,Best Case,115191,2024-10-08,owner_6,False,2024-06-03,21,False
6038,deal_104,2024-07-01,Proposal,Best Case,115191,2024-10-08,owner_6,False,2024-06-03,28,False
6039,deal_104,2024-07-08,Negotiation,Best Case,115191,2024-07-08,owner_6,True,2024-07-08,0,False
6040,deal_104,2024-07-15,Negotiation,Best Case,115191,2024-08-08,owner_6,False,2024-07-08,7,False
6041,deal_104,2024-07-22,Negotiation,Best Case,115191,2024-08-08,owner_6,False,2024-07-08,14,False
6042,deal_104,2024-07-29,Negotiation,Best Case,115191,2024-11-08,owner_6,False,2024-07-08,21,False
6043,deal_104,2024-08-05,Closed Lost,Closed,115191,2024-07-08,owner_6,True,2024-08-05,0,False
6044,deal_104,2024-08-12,Closed Lost,Closed,115191,2024-10-08,owner_6,False,2024-08-05,7,False
6045,deal_104,2024-08-19,Closed Lost,Closed,115191,2024-08-08,owner_6,False,2024-08-05,14,False
6046,deal_104,2024-08-26,Closed Lost,Closed,115191,2024-11-08,owner_6,False,2024-08-05,21,False
6047,deal_104,2024-09-02,Closed Lost,Closed,115191,2024-09-08,owner_6,False,2024-08-05,28,False
828,deal_105,2025-01-20,Prospecting,Pipeline,120031,2025-06-11,owner_10,True,2025-01-20,0,False
829,deal_105,2025-01-27,Prospecting,Pipeline,105429,2025-08-11,owner_10,False,2025-01-20,7,False
830,deal_105,2025-02-03,Prospecting,Pipeline,87048,2025-08-11,owner_10,False,2025-01-20,14,False
831,deal_105,2025-02-10,Prospecting,Pipeline,87248,2025-05-11,owner_10,False,2025-01-20,21,False
832,deal_105,2025-02-17,Prospecting,Pipeline,123652,2025-06-11,owner_10,False,2025-01-20,28,False
833,deal_105,2025-02-24,Prospecting,Pipeline,103745,2025-05-11,owner_10,False,2025-01-20,35,True
834,deal_105,2025-03-03,Prospecting,Pipeline,123804,2025-08-11,owner_10,False,2025-01-20,42,True
835,deal_105,2025-03-10,Prospecting,Pipeline,88376,2025-05-11,owner_10,False,2025-01-20,49,True
836,deal_105,2025-03-17,Prospecting,Pipeline,108920,2025-09-11,owner_10,False,2025-01-20,56,True
837,deal_105,2025-03-24,Prospecting,Pipeline,90135,2025-08-11,owner_10,False,2025-01-20,63,True
838,deal_105,2025-03-31,Prospecting,Pipeline,94649,2025-05-11,owner_10,False,2025-01-20,70,True
839,deal_105,2025-04-07,Prospecting,Pipeline,99600,2025-09-11,owner_10,False,2025-01-20,77,True
840,deal_105,2025-04-14,Prospecting,Pipeline,112433,2025-08-11,owner_10,False,2025-01-20,84,True
841,deal_105,2025-04-21,Prospecting,Pipeline,106708,2025-05-11,owner_10,False,2025-01-20,91,True
842,deal_105,2025-04-28,Prospecting,Pipeline,120616,2025-05-11,owner_10,False,2025-01-20,98,True
843,deal_105,2025-05-05,Prospecting,Pipeline,120269,2025-05-11,owner_10,False,2025-01-20,105,True
844,deal_105,2025-05-12,Prospecting,Pipeline,109094,2025-06-11,owner_10,False,2025-01-20,112,True
845,deal_105,2025-05-19,Prospecting,Pipeline,117532,2025-08-11,owner_10,False,2025-01-20,119,True
846,deal_105,2025-05-26,Prospecting,Pipeline,106643,2025-09-11,owner_10,False,2025-01-20,126,True
847,deal_105,2025-06-02,Prospecting,Pipeline,122366,2025-06-11,owner_10,False,2025-01-20,133,True
848,deal_105,2025-06-09,Qualification,Pipeline,108258,2025-07-11,owner_10,True,2025-06-09,0,False
6048,deal_107,2024-09-16,Prospecting,Pipeline,26939,2024-12-27,owner_6,True,2024-09-16,0,False
6049,deal_107,2024-09-23,Prospecting,Pipeline,26939,2024-12-27,owner_6,False,2024-09-16,7,False
6050,deal_107,2024-09-30,Prospecting,Pipeline,26939,2024-12-27,owner_6,False,2024-09-16,14,False
6051,deal_107,2024-10-07,Prospecting,Pipeline,26939,2024-12-27,owner_6,False,2024-09-16,21,False
6052,deal_107,2024-10-14,Prospecting,Pipeline,26939,2024-12-27,owner_6,False,2024-09-16,28,False
6053,deal_107,2024-10-21,Prospecting,Pipeline,26939,2024-12-27,owner_6,False,2024-09-16,35,True
6054,deal_107,2024-10-28,Prospecting,Pipeline,26939,2024-12-27,owner_6,False,2024-09-16,42,True
6055,deal_107,2024-11-04,Prospecting,Pipeline,26939,2024-12-27,owner_6,False,2024-09-16,49,True
6056,deal_107,2024-11-11,Prospecting,Pipeline,26939,2024-12-27,owner_6,False,2024-09-16,56,True
6057,deal_107,2024-11-18,Prospecting,Pipeline,26939,2024-12-27,owner_6,False,2024-09-16,63,True
6058,deal_107,2024-11-25,Prospecting,Pipeline,26939,2024-12-27,owner_6,False,2024-09-16,70,True
6059,deal_107,2024-12-02,Prospecting,Pipeline,26939,2024-12-27,owner_6,False,2024-09-16,77,True
6060,deal_107,2024-12-09,Prospecting,Pipeline,26939,2024-12-27,owner_6,False,2024-09-16,84,True
6061,deal_107,2024-12-16,Prospecting,Pipeline,26939,2024-12-27,owner_6,False,2024-09-16,91,True
6062,deal_107,2024-12-23,Prospecting,Pipeline,26939,2024-12-27,owner_6,False,2024-09-16,98,True
849,deal_108,2024-05-06,Prospecting,Pipeline,101151,2024-07-11,owner_10,True,2024-05-06,0,False
850,deal_108,2024-05-13,Prospecting,Pipeline,101151,2024-07-11,owner_10,False,2024-05-06,7,False
851,deal_108,2024-05-20,Prospecting,Pipeline,101151,2024-07-11,owner_10,False,2024-05-06,14,False
852,deal_108,2024-05-27,Prospecting,Pipeline,101151,2024-07-11,owner_10,False,2024-05-06,21,False
853,deal_108,2024-06-03,Prospecting,Pipeline,101151,2024-07-11,owner_10,False,2024-05-06,28,False
854,deal_108,2024-06-10,Prospecting,Pipeline,101151,2024-07-11,owner_10,False,2024-05-06,35,True
855,deal_108,2024-06-17,Prospecting,Pipeline,101151,2024-07-11,owner_10,False,2024-05-06,42,True
856,deal_108,2024-06-24,Prospecting,Pipeline,101151,2024-07-11,owner_10,False,2024-05-06,49,True
857,deal_108,2024-07-01,Prospecting,Pipeline,101151,2024-07-11,owner_10,False,2024-05-06,56,True
858,deal_108,2024-07-08,Qualification,Pipeline,101151,2024-07-11,owner_10,True,2024-07-08,0,False
859,deal_110,2024-03-25,Prospecting,Pipeline,45934,2024-05-04,owner_10,True,2024-03-25,0,False
860,deal_110,2024-04-01,Prospecting,Pipeline,47355,2024-05-04,owner_10,False,2024-03-25,7,False
861,deal_110,2024-04-08,Prospecting,Pipeline,52561,2024-05-04,owner_10,False,2024-03-25,14,False
862,deal_110,2024-04-15,Prospecting,Pipeline,46760,2024-05-04,owner_10,False,2024-03-25,21,False
863,deal_110,2024-04-22,Prospecting,Pipeline,53979,2024-05-04,owner_10,False,2024-03-25,28,False
864,deal_110,2024-04-29,Prospecting,Pipeline,49274,2024-05-04,owner_10,False,2024-03-25,35,True
7163,deal_111,2024-01-15,Prospecting,Pipeline,51488,2024-03-11,owner_8,True,2024-01-15,0,False
7164,deal_111,2024-01-22,Prospecting,Pipeline,48775,2024-03-11,owner_8,False,2024-01-15,7,False
7165,deal_111,2024-01-29,Qualification,Pipeline,60009,2024-01-11,owner_8,True,2024-01-29,0,False
7166,deal_111,2024-02-05,Proposal,Best Case,51725,2024-02-11,owner_8,True,2024-02-05,0,False
1836,deal_112,2024-08-26,Prospecting,Pipeline,55236,2025-03-13,owner_12,True,2024-08-26,0,False
1837,deal_112,2024-09-02,Prospecting,Pipeline,56785,2025-01-13,owner_12,False,2024-08-26,7,False
1838,deal_112,2024-09-09,Prospecting,Pipeline,57868,2025-01-13,owner_12,False,2024-08-26,14,False
1839,deal_112,2024-09-16,Prospecting,Pipeline,73783,2025-04-13,owner_12,False,2024-08-26,21,False
1840,deal_112,2024-09-23,Prospecting,Pipeline,67177,2025-01-13,owner_12,False,2024-08-26,28,False
1841,deal_112,2024-09-30,Prospecting,Pipeline,67150,2024-12-13,owner_12,False,2024-08-26,35,True
1842,deal_112,2024-10-07,Prospecting,Pipeline,78123,2024-12-13,owner_12,False,2024-08-26,42,True
1843,deal_112,2024-10-14,Prospecting,Pipeline,70883,2025-04-13,owner_12,False,2024-08-26,49,True
1844,deal_112,2024-10-21,Qualification,Pipeline,80414,2025-04-13,owner_12,True,2024-10-21,0,False
1845,deal_112,2024-10-28,Qualification,Pipeline,80008,2025-03-13,owner_12,False,2024-10-21,7,False
1846,deal_112,2024-11-04,Qualification,Pipeline,66053,2024-12-13,owner_12,False,2024-10-21,14,False
1847,deal_112,2024-11-11,Qualification,Pipeline,77549,2025-01-13,owner_12,False,2024-10-21,21,False
1848,deal_112,2024-11-18,Qualification,Pipeline,75356,2025-04-13,owner_12,False,2024-10-21,28,False
1849,deal_112,2024-11-25,Qualification,Pipeline,55769,2024-12-13,owner_12,False,2024-10-21,35,True
1850,deal_112,2024-12-02,Qualification,Pipeline,63779,2025-03-13,owner_12,False,2024-10-21,42,True
1851,deal_112,2024-12-09,Qualification,Pipeline,63734,2024-12-13,owner_12,False,2024-10-21,49,True
1852,deal_112,2024-12-16,Proposal,Best Case,66708,2025-04-13,owner_12,True,2024-12-16,0,False
1853,deal_112,2024-12-23,Proposal,Best Case,60555,2025-04-13,owner_12,False,2024-12-16,7,False
1854,deal_112,2024-12-30,Proposal,Best Case,67037,2025-01-13,owner_12,False,2024-12-16,14,False
1855,deal_112,2025-01-06,Proposal,Best Case,55224,2025-04-13,owner_12,False,2024-12-16,21,False
1856,deal_112,2025-01-13,Proposal,Best Case,56022,2025-01-13,owner_12,False,2024-12-16,28,False
1857,deal_112,2025-01-20,Proposal,Best Case,67326,2025-03-13,owner_12,False,2024-12-16,35,True
1858,deal_112,2025-01-27,Proposal,Best Case,64097,2024-12-13,owner_12,False,2024-12-16,42,True
1859,deal_112,2025-02-03,Proposal,Best Case,63037,2025-04-13,owner_12,False,2024-12-16,49,True
1860,deal_112,2025-02-10,Negotiation,Commit,67961,2025-02-13,owner_12,True,2025-02-10,0,False
6663,deal_113,2024-11-11,Prospecting,Pipeline,25942,2025-02-12,owner_7,True,2024-11-11,0,False
6664,deal_113,2024-11-18,Prospecting,Pipeline,19424,2025-02-12,owner_7,False,2024-11-11,7,False
6665,deal_113,2024-11-25,Prospecting,Pipeline,24200,2024-11-12,owner_7,False,2024-11-11,14,False
6666,deal_113,2024-12-02,Prospecting,Pipeline,25546,2025-02-12,owner_7,False,2024-11-11,21,False
6667,deal_113,2024-12-09,Qualification,Pipeline,24849,2024-11-12,owner_7,True,2024-12-09,0,False
6668,deal_113,2024-12-16,Qualification,Pipeline,25776,2025-03-12,owner_7,False,2024-12-09,7,False
6669,deal_113,2024-12-23,Qualification,Pipeline,22567,2024-12-12,owner_7,False,2024-12-09,14,False
6670,deal_113,2024-12-30,Qualification,Pipeline,19421,2024-11-12,owner_7,False,2024-12-09,21,False
6671,deal_113,2025-01-06,Proposal,Best Case,23953,2025-01-12,owner_7,True,2025-01-06,0,False
1318,deal_114,2024-10-21,Prospecting,Pipeline,239748,2025-02-28,owner_11,True,2024-10-21,0,False
1319,deal_114,2024-10-28,Prospecting,Pipeline,239748,2025-02-28,owner_11,False,2024-10-21,7,False
1320,deal_114,2024-11-04,Prospecting,Pipeline,239748,2024-11-30,owner_11,False,2024-10-21,14,False
1321,deal_114,2024-11-11,Qualification,Pipeline,239748,2024-11-30,owner_11,True,2024-11-11,0,False
1322,deal_114,2024-11-18,Qualification,Pipeline,239748,2024-12-30,owner_11,False,2024-11-11,7,False
1323,deal_114,2024-11-25,Qualification,Pipeline,239748,2025-02-28,owner_11,False,2024-11-11,14,False
1324,deal_114,2024-12-02,Proposal,Best Case,239748,2024-11-30,owner_11,True,2024-12-02,0,False
1325,deal_114,2024-12-09,Proposal,Best Case,239748,2024-12-30,owner_11,False,2024-12-02,7,False
1326,deal_114,2024-12-16,Proposal,Best Case,239748,2024-11-30,owner_11,False,2024-12-02,14,False
1327,deal_114,2024-12-23,Negotiation,Best Case,239748,2025-03-30,owner_11,True,2024-12-23,0,False
1328,deal_114,2024-12-30,Negotiation,Best Case,239748,2025-03-30,owner_11,False,2024-12-23,7,False
1329,deal_114,2025-01-06,Negotiation,Best Case,239748,2024-12-30,owner_11,False,2024-12-23,14,False
1330,deal_114,2025-01-13,Closed Lost,Closed,239748,2025-03-30,owner_11,True,2025-01-13,0,False
1331,deal_114,2025-01-20,Closed Lost,Closed,239748,2024-12-30,owner_11,False,2025-01-13,7,False
1332,deal_114,2025-01-27,Closed Lost,Closed,239748,2025-01-30,owner_11,False,2025-01-13,14,False
6063,deal_115,2024-11-25,Prospecting,Pipeline,26143,2025-02-26,owner_6,True,2024-11-25,0,False
6064,deal_115,2024-12-02,Prospecting,Pipeline,32981,2025-02-26,owner_6,False,2024-11-25,7,False
6065,deal_115,2024-12-09,Prospecting,Pipeline,33782,2025-02-26,owner_6,False,2024-11-25,14,False
6066,deal_115,2024-12-16,Prospecting,Pipeline,33190,2025-02-26,owner_6,False,2024-11-25,21,False
6067,deal_115,2024-12-23,Prospecting,Pipeline,33725,2025-02-26,owner_6,False,2024-11-25,28,False
6068,deal_115,2024-12-30,Prospecting,Pipeline,28157,2025-02-26,owner_6,False,2024-11-25,35,True
6069,deal_115,2025-01-06,Prospecting,Pipeline,31445,2025-02-26,owner_6,False,2024-11-25,42,True
6070,deal_115,2025-01-13,Prospecting,Pipeline,25863,2025-02-26,owner_6,False,2024-11-25,49,True
6071,deal_115,2025-01-20,Prospecting,Pipeline,30193,2025-02-26,owner_6,False,2024-11-25,56,True
6072,deal_115,2025-01-27,Prospecting,Pipeline,32804,2025-02-26,owner_6,False,2024-11-25,63,True
6073,deal_115,2025-02-03,Prospecting,Pipeline,29685,2025-02-26,owner_6,False,2024-11-25,70,True
6074,deal_115,2025-02-10,Prospecting,Pipeline,31739,2025-02-26,owner_6,False,2024-11-25,77,True
6075,deal_115,2025-02-17,Prospecting,Pipeline,28495,2025-02-26,owner_6,False,2024-11-25,84,True
6076,deal_115,2025-02-24,Qualification,Pipeline,30968,2025-02-26,owner_6,True,2025-02-24,0,False
6077,deal_116,2024-11-11,Prospecting,Pipeline,57899,2025-04-14,owner_6,True,2024-11-11,0,False
6078,deal_116,2024-11-18,Prospecting,Pipeline,44379,2025-01-14,owner_6,False,2024-11-11,7,False
6079,deal_116,2024-11-25,Prospecting,Pipeline,58909,2024-12-14,owner_6,False,2024-11-11,14,False
6080,deal_116,2024-12-02,Prospecting,Pipeline,49841,2024-12-14,owner_6,False,2024-11-11,21,False
6081,deal_116,2024-12-09,Prospecting,Pipeline,49171,2025-04-14,owner_6,False,2024-11-11,28,False
6082,deal_116,2024-12-16,Prospecting,Pipeline,61929,2025-04-14,owner_6,False,2024-11-11,35,True
6083,deal_116,2024-12-23,Prospecting,Pipeline,59256,2025-01-14,owner_6,False,2024-11-11,42,True
6084,deal_116,2024-12-30,Prospecting,Pipeline,57811,2025-03-14,owner_6,False,2024-11-11,49,True
6085,deal_116,2025-01-06,Prospecting,Pipeline,60859,2025-04-14,owner_6,False,2024-11-11,56,True
6086,deal_116,2025-01-13,Prospecting,Pipeline,49413,2025-01-14,owner_6,False,2024-11-11,63,True
6087,deal_116,2025-01-20,Prospecting,Pipeline,61090,2025-03-14,owner_6,False,2024-11-11,70,True
6088,deal_116,2025-01-27,Prospecting,Pipeline,58890,2024-12-14,owner_6,False,2024-11-11,77,True
6089,deal_116,2025-02-03,Prospecting,Pipeline,53195,2025-04-14,owner_6,False,2024-11-11,84,True
6090,deal_116,2025-02-10,Qualification,Pipeline,52071,2025-02-14,owner_6,True,2025-02-10,0,False
6091,deal_118,2025-02-24,Prospecting,Pipeline,39633,2025-05-26,owner_6,True,2025-02-24,0,False
6092,deal_118,2025-03-03,Prospecting,Pipeline,45505,2025-05-26,owner_6,False,2025-02-24,7,False
6093,deal_118,2025-03-10,Prospecting,Pipeline,48171,2025-05-26,owner_6,False,2025-02-24,14,False
6094,deal_118,2025-03-17,Prospecting,Pipeline,54476,2025-05-26,owner_6,False,2025-02-24,21,False
6095,deal_118,2025-03-24,Prospecting,Pipeline,44019,2025-05-26,owner_6,False,2025-02-24,28,False
6096,deal_118,2025-03-31,Qualification,Pipeline,55357,2025-05-26,owner_6,True,2025-03-31,0,False
6097,deal_118,2025-04-07,Qualification,Pipeline,49307,2025-05-26,owner_6,False,2025-03-31,7,False
6098,deal_118,2025-04-14,Qualification,Pipeline,51730,2025-05-26,owner_6,False,2025-03-31,14,False
6099,deal_118,2025-04-21,Qualification,Pipeline,50929,2025-05-26,owner_6,False,2025-03-31,21,False
6100,deal_118,2025-04-28,Proposal,Best Case,46796,2025-05-26,owner_6,True,2025-04-28,0,False
6101,deal_118,2025-05-05,Proposal,Best Case,47956,2025-05-26,owner_6,False,2025-04-28,7,False
6102,deal_118,2025-05-12,Proposal,Best Case,56581,2025-05-26,owner_6,False,2025-04-28,14,False
6103,deal_118,2025-05-19,Proposal,Best Case,56840,2025-05-26,owner_6,False,2025-04-28,21,False
6104,deal_118,2025-05-26,Negotiation,Commit,48188,2025-05-26,owner_6,True,2025-05-26,0,False
3225,deal_119,2024-11-18,Prospecting,Pipeline,56278,2025-03-21,owner_2,True,2024-11-18,0,False
3226,deal_119,2024-11-25,Prospecting,Pipeline,56278,2025-03-21,owner_2,False,2024-11-18,7,False
3227,deal_119,2024-12-02,Prospecting,Pipeline,56278,2025-03-21,owner_2,False,2024-11-18,14,False
3228,deal_119,2024-12-09,Prospecting,Pipeline,56278,2025-03-21,owner_2,False,2024-11-18,21,False
3229,deal_119,2024-12-16,Prospecting,Pipeline,56278,2025-03-21,owner_2,False,2024-11-18,28,False
3230,deal_119,2024-12-23,Prospecting,Pipeline,56278,2025-03-21,owner_2,False,2024-11-18,35,True
3231,deal_119,2024-12-30,Prospecting,Pipeline,56278,2025-03-21,owner_2,False,2024-11-18,42,True
3232,deal_119,2025-01-06,Prospecting,Pipeline,56278,2025-03-21,owner_2,False,2024-11-18,49,True
3233,deal_119,2025-01-13,Prospecting,Pipeline,56278,2025-03-21,owner_2,False,2024-11-18,56,True
3234,deal_119,2025-01-20,Prospecting,Pipeline,56278,2025-03-21,owner_2,False,2024-11-18,63,True
3235,deal_119,2025-01-27,Prospecting,Pipeline,56278,2025-03-21,owner_2,False,2024-11-18,70,True
3236,deal_119,2025-02-03,Prospecting,Pipeline,56278,2025-03-21,owner_2,False,2024-11-18,77,True
3237,deal_119,2025-02-10,Prospecting,Pipeline,56278,2025-03-21,owner_2,False,2024-11-18,84,True
3238,deal_119,2025-02-17,Prospecting,Pipeline,56278,2025-03-21,owner_2,False,2024-11-18,91,True
